t,X,Y,Z
2.248,-8.725248584292277,-4.477138559945738,31.988750004041346
2.2520000000000002,-8.555631028342042,-4.323426113091743,31.797109955063544
2.2560000000000002,-8.386802015758011,-4.180007580539437,31.600485760385897
2.2600000000000002,-8.219170387250655,-4.0468570717242365,31.39997973667907
2.2640000000000002,-8.053164202426961,-3.923473799418005,31.195868822132844
2.2680000000000002,-7.889122105768031,-3.809126380506549,30.987670919603865
2.2720000000000002,-7.727282429663877,-3.703649085850373,30.775825392983897
2.2760000000000002,-7.56787111370551,-3.606869473429212,30.560762264282324
2.2800000000000002,-7.411102110781295,-3.5186043545626324,30.342894840771592
2.2840000000000003,-7.257177387076941,-3.4386597939100336,30.12261971498724
2.2880000000000003,-7.1062869220755065,-3.3668311094706462,29.900316764727876
2.2920000000000003,-6.958608708557399,-3.302902872583532,29.676349153055195
2.2960000000000003,-6.8143087526003745,-3.2466489079275855,29.45106332829397
2.3000000000000003,-6.6735410735795355,-3.197832293521533,29.22478902403205
2.3040000000000003,-6.536447704167334,-3.1562053607239307,28.997839259120365
2.308,-6.403158690333585,-3.1215096942331724,28.770510337672953
2.312,-6.273792091345408,-3.0934761320874715,28.54308184906685
2.316,-6.148453979767313,-3.0718247656648856,28.315816667942254
2.32,-6.0272384414611455,-3.0562649396832993,28.088960954202413
2.324,-5.910227575586099,-3.0464952522004287,27.862744153013654
2.328,-5.797491494598713,-3.0422035546138226,27.63737899480539
2.332,-5.6890883242528805,-3.0430669516608604,27.413061495270096
2.336,-5.585064203599838,-3.0487518014187542,27.18997095536335
2.34,-5.4854532849881705,-3.0589137153045485,26.968269961303797
2.344,-5.3902777340638135,-3.0731975580751176,26.74810438457316
2.348,-5.299547729770048,-3.0912374478271696,26.529603381916242
2.352,-5.213261464347507,-3.112656755997243,26.312879395340932
2.356,-5.131362079393664,-3.1373154375441277,26.09800383356834
2.36,-5.053706614376165,-3.1656172257184703,25.88498810872988
2.364,-4.980258786908812,-3.1974528763829757,25.67389867048598
2.368,-4.910987556800917,-3.232686452231598,25.464804933512898
2.372,-4.845860413715163,-3.2711908885804744,25.25777559350982
2.376,-4.784843377167602,-3.3128479933679236,25.052878627198876
2.38,-4.727900996527662,-3.3575484471544486,24.850181292325125
